episode,step,reward,dropped,drop_rate,completed,accepted
6,2,0.0,0,0.0,0,3
6,3,-0.5,0,0.0,0,4
6,4,-0.5,0,0.0,0,5
6,5,1.5,0,0.0,1,6
6,6,1.5,0,0.0,2,7
6,7,3.5,0,0.0,4,8
6,8,1.5,0,0.0,5,9
6,9,-0.5,0,0.0,5,10
6,10,-6.0,1,0.09090909090909091,5,10
6,11,1.5,1,0.08333333333333333,6,11
6,12,3.5,1,0.07692307692307693,8,12
6,13,-1.0,1,0.07142857142857142,8,13
6,14,1.0,1,0.06666666666666667,9,14
6,15,-6.5,2,0.125,9,14
6,16,-1.0,2,0.11764705882352941,9,15
6,17,3.5,2,0.1111111111111111,11,16
6,18,-1.0,2,0.10526315789473684,11,17
6,19,-4.0,3,0.15,12,17
6,20,-6.0,4,0.19047619047619047,12,17
6,21,-4.0,5,0.22727272727272727,13,17
6,22,1.5,5,0.21739130434782608,14,18
6,23,1.5,5,0.20833333333333334,15,19
6,24,1.5,5,0.2,16,20
6,25,-6.0,6,0.23076923076923078,16,20
6,26,-0.5,6,0.2222222222222222,16,21
6,27,1.5,6,0.21428571428571427,17,22
6,28,-4.0,7,0.2413793103448276,18,22
6,29,-0.5,7,0.23333333333333334,18,23
6,30,-1.0,7,0.22580645161290322,18,24
6,31,1.0,7,0.21875,19,25
6,32,3.0,7,0.21212121212121213,21,26
6,33,3.5,7,0.20588235294117646,23,27
6,34,-0.5,7,0.2,23,28
6,35,1.5,7,0.19444444444444445,24,29
6,36,3.5,7,0.1891891891891892,26,30
6,37,1.5,7,0.18421052631578946,27,31
6,38,1.5,7,0.1794871794871795,28,32
6,39,-1.0,7,0.175,28,33
6,40,-6.5,8,0.1951219512195122,28,33
6,41,3.5,8,0.19047619047619047,30,34
6,42,-0.5,8,0.18604651162790697,30,35
6,43,3.5,8,0.18181818181818182,32,36
6,44,-1.0,8,0.17777777777777778,32,37
6,45,-1.5,8,0.17391304347826086,32,38
6,46,3.0,8,0.1702127659574468,34,39
